Month,Sales,Account,business_unit,Currency,Year,Scenario
Dec,82703597,Sales,Software,USD,2012,Actuals
Feb,82606134,Sales,Software,USD,2012,Actuals
Jan,90924002,Sales,Software,USD,2012,Actuals
Jul,77345061,Sales,Software,USD,2012,Actuals
Jun,96384524,Sales,Software,USD,2012,Actuals
Mar,72780220,Sales,Software,USD,2012,Actuals
May,77528109,Sales,Software,USD,2012,Actuals
Nov,54887908,Sales,Software,USD,2012,Actuals
Oct,95373403,Sales,Software,USD,2012,Actuals
Sep,79879127,Sales,Software,USD,2012,Actuals
Apr,52943701,Sales,Software,USD,2012,Actuals
Aug,98290873,Sales,Software,USD,2012,Actuals
Dec,-34233473,Cost of Goods Sold,Software,USD,2012,Actuals
Feb,-40464347,Cost of Goods Sold,Software,USD,2012,Actuals
Jan,-41623278,Cost of Goods Sold,Software,USD,2012,Actuals
Jul,-34847393,Cost of Goods Sold,Software,USD,2012,Actuals
Jun,-44819597,Cost of Goods Sold,Software,USD,2012,Actuals
Mar,-30806326,Cost of Goods Sold,Software,USD,2012,Actuals
May,-37047252,Cost of Goods Sold,Software,USD,2012,Actuals
Nov,-26929424,Cost of Goods Sold,Software,USD,2012,Actuals
Oct,-44982115,Cost of Goods Sold,Software,USD,2012,Actuals
Sep,-35880653,Cost of Goods Sold,Software,USD,2012,Actuals
Apr,-21412962,Cost of Goods Sold,Software,USD,2012,Actuals
Aug,-47903350,Cost of Goods Sold,Software,USD,2012,Actuals
Dec,-3646726,Commissions Expense,Software,USD,2012,Actuals
Feb,-3386032,Commissions Expense,Software,USD,2012,Actuals
Jan,-4454359,Commissions Expense,Software,USD,2012,Actuals
Jul,-3386461,Commissions Expense,Software,USD,2012,Actuals
Jun,-4417624,Commissions Expense,Software,USD,2012,Actuals
Mar,-3389705,Commissions Expense,Software,USD,2012,Actuals
May,-3168079,Commissions Expense,Software,USD,2012,Actuals
Nov,-2455561,Commissions Expense,Software,USD,2012,Actuals
Oct,-4365527,Commissions Expense,Software,USD,2012,Actuals
Sep,-3418737,Commissions Expense,Software,USD,2012,Actuals
Apr,-2149257,Commissions Expense,Software,USD,2012,Actuals
Aug,-4052846,Commissions Expense,Software,USD,2012,Actuals
Dec,-9099438,Payroll Expense,Software,USD,2012,Actuals
Feb,-9871172,Payroll Expense,Software,USD,2012,Actuals
Jan,-9901680,Payroll Expense,Software,USD,2012,Actuals
Jul,-8081033,Payroll Expense,Software,USD,2012,Actuals
Jun,-11082494,Payroll Expense,Software,USD,2012,Actuals
Mar,-8459696,Payroll Expense,Software,USD,2012,Actuals
May,-8493573,Payroll Expense,Software,USD,2012,Actuals
Nov,-6300578,Payroll Expense,Software,USD,2012,Actuals
Oct,-10081727,Payroll Expense,Software,USD,2012,Actuals
Sep,-8410665,Payroll Expense,Software,USD,2012,Actuals
Apr,-6303408,Payroll Expense,Software,USD,2012,Actuals
Aug,-11070018,Payroll Expense,Software,USD,2012,Actuals
Dec,-941542,Travel & Entertainment Expense,Software,USD,2012,Actuals
Feb,-838985,Travel & Entertainment Expense,Software,USD,2012,Actuals
Jan,-951255,Travel & Entertainment Expense,Software,USD,2012,Actuals
Jul,-818602,Travel & Entertainment Expense,Software,USD,2012,Actuals
Jun,-1085296,Travel & Entertainment Expense,Software,USD,2012,Actuals
Mar,-872700,Travel & Entertainment Expense,Software,USD,2012,Actuals
May,-919835,Travel & Entertainment Expense,Software,USD,2012,Actuals
Nov,-611335,Travel & Entertainment Expense,Software,USD,2012,Actuals
Oct,-1158623,Travel & Entertainment Expense,Software,USD,2012,Actuals
Sep,-803190,Travel & Entertainment Expense,Software,USD,2012,Actuals
Apr,-624416,Travel & Entertainment Expense,Software,USD,2012,Actuals
Aug,-1040585,Travel & Entertainment Expense,Software,USD,2012,Actuals
Dec,-3711633,R&D Expense,Software,USD,2012,Actuals
Feb,-3599297,R&D Expense,Software,USD,2012,Actuals
Jan,-4094116,R&D Expense,Software,USD,2012,Actuals
Jul,-3752045,R&D Expense,Software,USD,2012,Actuals
Jun,-3973250,R&D Expense,Software,USD,2012,Actuals
Mar,-3213050,R&D Expense,Software,USD,2012,Actuals
May,-3350416,R&D Expense,Software,USD,2012,Actuals
Nov,-2727155,R&D Expense,Software,USD,2012,Actuals
Oct,-4281007,R&D Expense,Software,USD,2012,Actuals
Sep,-3524451,R&D Expense,Software,USD,2012,Actuals
Apr,-2466394,R&D Expense,Software,USD,2012,Actuals
Aug,-4170217,R&D Expense,Software,USD,2012,Actuals
Dec,-4664773,Consulting Expense,Software,USD,2012,Actuals
Feb,-4215309,Consulting Expense,Software,USD,2012,Actuals
Jan,-5261471,Consulting Expense,Software,USD,2012,Actuals
Jul,-4448901,Consulting Expense,Software,USD,2012,Actuals
Jun,-5399647,Consulting Expense,Software,USD,2012,Actuals
Mar,-3781799,Consulting Expense,Software,USD,2012,Actuals
May,-4656777,Consulting Expense,Software,USD,2012,Actuals
Nov,-2908553,Consulting Expense,Software,USD,2012,Actuals
Oct,-5505410,Consulting Expense,Software,USD,2012,Actuals
Sep,-4598250,Consulting Expense,Software,USD,2012,Actuals
Apr,-2788120,Consulting Expense,Software,USD,2012,Actuals
Aug,-5654825,Consulting Expense,Software,USD,2012,Actuals
Dec,-6547629,Software/Hardware Expense,Software,USD,2012,Actuals
Feb,-6744180,Software/Hardware Expense,Software,USD,2012,Actuals
Jan,-7549491,Software/Hardware Expense,Software,USD,2012,Actuals
Jul,-6661232,Software/Hardware Expense,Software,USD,2012,Actuals
Jun,-7685036,Software/Hardware Expense,Software,USD,2012,Actuals
Mar,-5424173,Software/Hardware Expense,Software,USD,2012,Actuals
May,-5935455,Software/Hardware Expense,Software,USD,2012,Actuals
Nov,-4016737,Software/Hardware Expense,Software,USD,2012,Actuals
Oct,-8233098,Software/Hardware Expense,Software,USD,2012,Actuals
Sep,-6167182,Software/Hardware Expense,Software,USD,2012,Actuals
Apr,-3818856,Software/Hardware Expense,Software,USD,2012,Actuals
Aug,-8035238,Software/Hardware Expense,Software,USD,2012,Actuals
Dec,-1696008,Marketing Expense,Software,USD,2012,Actuals
Feb,-2004386,Marketing Expense,Software,USD,2012,Actuals
Jan,-1865763,Marketing Expense,Software,USD,2012,Actuals
Jul,-1579791,Marketing Expense,Software,USD,2012,Actuals
Jun,-2316878,Marketing Expense,Software,USD,2012,Actuals
Mar,-1667521,Marketing Expense,Software,USD,2012,Actuals
May,-1617994,Marketing Expense,Software,USD,2012,Actuals
Nov,-1365202,Marketing Expense,Software,USD,2012,Actuals
Oct,-2043854,Marketing Expense,Software,USD,2012,Actuals
Sep,-1869698,Marketing Expense,Software,USD,2012,Actuals
Apr,-1103735,Marketing Expense,Software,USD,2012,Actuals
Aug,-2223673,Marketing Expense,Software,USD,2012,Actuals
Dec,18194791.34,Sales,Advertising,USD,2012,Actuals
Feb,24781840.2,Sales,Advertising,USD,2012,Actuals
Jan,20003280.44,Sales,Advertising,USD,2012,Actuals
Jul,18562814.64,Sales,Advertising,USD,2012,Actuals
Jun,22168440.52,Sales,Advertising,USD,2012,Actuals
Mar,15283846.2,Sales,Advertising,USD,2012,Actuals
May,19382027.25,Sales,Advertising,USD,2012,Actuals
Nov,14819735.16,Sales,Advertising,USD,2012,Actuals
Oct,27658286.87,Sales,Advertising,USD,2012,Actuals
Sep,23164946.83,Sales,Advertising,USD,2012,Actuals
Apr,15883110.3,Sales,Advertising,USD,2012,Actuals
Aug,29487261.9,Sales,Advertising,USD,2012,Actuals
Dec,-9083320,Cost of Goods Sold,Advertising,USD,2012,Actuals
Feb,-11513937,Cost of Goods Sold,Advertising,USD,2012,Actuals
Jan,-9353324,Cost of Goods Sold,Advertising,USD,2012,Actuals
Jul,-8555070,Cost of Goods Sold,Advertising,USD,2012,Actuals
Jun,-9798685,Cost of Goods Sold,Advertising,USD,2012,Actuals
Mar,-6166965,Cost of Goods Sold,Advertising,USD,2012,Actuals
May,-8496461,Cost of Goods Sold,Advertising,USD,2012,Actuals
Nov,-7257645,Cost of Goods Sold,Advertising,USD,2012,Actuals
Oct,-13628227,Cost of Goods Sold,Advertising,USD,2012,Actuals
Sep,-11551839,Cost of Goods Sold,Advertising,USD,2012,Actuals
Apr,-7501106,Cost of Goods Sold,Advertising,USD,2012,Actuals
Aug,-14039373,Cost of Goods Sold,Advertising,USD,2012,Actuals
Dec,-772637,Commissions Expense,Advertising,USD,2012,Actuals
Feb,-1002323,Commissions Expense,Advertising,USD,2012,Actuals
Jan,-941821,Commissions Expense,Advertising,USD,2012,Actuals
Jul,-808354,Commissions Expense,Advertising,USD,2012,Actuals
Jun,-1061422,Commissions Expense,Advertising,USD,2012,Actuals
Mar,-746736,Commissions Expense,Advertising,USD,2012,Actuals
May,-808144,Commissions Expense,Advertising,USD,2012,Actuals
Nov,-675574,Commissions Expense,Advertising,USD,2012,Actuals
Oct,-1278394,Commissions Expense,Advertising,USD,2012,Actuals
Sep,-950267,Commissions Expense,Advertising,USD,2012,Actuals
Apr,-764074,Commissions Expense,Advertising,USD,2012,Actuals
Aug,-1421840,Commissions Expense,Advertising,USD,2012,Actuals
Dec,-2032444,Payroll Expense,Advertising,USD,2012,Actuals
Feb,-2697904,Payroll Expense,Advertising,USD,2012,Actuals
Jan,-2496366,Payroll Expense,Advertising,USD,2012,Actuals
Jul,-2182363,Payroll Expense,Advertising,USD,2012,Actuals
Jun,-2480892,Payroll Expense,Advertising,USD,2012,Actuals
Mar,-1679239,Payroll Expense,Advertising,USD,2012,Actuals
May,-2215557,Payroll Expense,Advertising,USD,2012,Actuals
Nov,-1808374,Payroll Expense,Advertising,USD,2012,Actuals
Oct,-3305300,Payroll Expense,Advertising,USD,2012,Actuals
Sep,-2427536,Payroll Expense,Advertising,USD,2012,Actuals
Apr,-1918713,Payroll Expense,Advertising,USD,2012,Actuals
Aug,-3410389,Payroll Expense,Advertising,USD,2012,Actuals
Dec,-185865,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Feb,-297458,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Jan,-212638,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Jul,-221103,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Jun,-260283,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Mar,-167930,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
May,-235827,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Nov,-172652,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Oct,-321588,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Sep,-260895,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Apr,-194736,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Aug,-348081,Travel & Entertainment Expense,Advertising,USD,2012,Actuals
Dec,-822644,R&D Expense,Advertising,USD,2012,Actuals
Feb,-1029549,R&D Expense,Advertising,USD,2012,Actuals
Jan,-977169,R&D Expense,Advertising,USD,2012,Actuals
Jul,-884213,R&D Expense,Advertising,USD,2012,Actuals
Jun,-993534,R&D Expense,Advertising,USD,2012,Actuals
Mar,-674412,R&D Expense,Advertising,USD,2012,Actuals
May,-900465,R&D Expense,Advertising,USD,2012,Actuals
Nov,-638663,R&D Expense,Advertising,USD,2012,Actuals
Oct,-1115640,R&D Expense,Advertising,USD,2012,Actuals
Sep,-1146956,R&D Expense,Advertising,USD,2012,Actuals
Apr,-792920,R&D Expense,Advertising,USD,2012,Actuals
Aug,-1430413,R&D Expense,Advertising,USD,2012,Actuals
Dec,-1078181,Consulting Expense,Advertising,USD,2012,Actuals
Feb,-1291439,Consulting Expense,Advertising,USD,2012,Actuals
Jan,-1176605,Consulting Expense,Advertising,USD,2012,Actuals
Jul,-1140096,Consulting Expense,Advertising,USD,2012,Actuals
Jun,-1356373,Consulting Expense,Advertising,USD,2012,Actuals
Mar,-934063,Consulting Expense,Advertising,USD,2012,Actuals
May,-1139418,Consulting Expense,Advertising,USD,2012,Actuals
Nov,-752770,Consulting Expense,Advertising,USD,2012,Actuals
Oct,-1399794,Consulting Expense,Advertising,USD,2012,Actuals
Sep,-1429418,Consulting Expense,Advertising,USD,2012,Actuals
Apr,-937518,Consulting Expense,Advertising,USD,2012,Actuals
Aug,-1606577,Consulting Expense,Advertising,USD,2012,Actuals
Dec,-1550361,Software/Hardware Expense,Advertising,USD,2012,Actuals
Feb,-2125980,Software/Hardware Expense,Advertising,USD,2012,Actuals
Jan,-1729022,Software/Hardware Expense,Advertising,USD,2012,Actuals
Jul,-1563338,Software/Hardware Expense,Advertising,USD,2012,Actuals
Jun,-1922968,Software/Hardware Expense,Advertising,USD,2012,Actuals
Mar,-1266805,Software/Hardware Expense,Advertising,USD,2012,Actuals
May,-1678429,Software/Hardware Expense,Advertising,USD,2012,Actuals
Nov,-1069556,Software/Hardware Expense,Advertising,USD,2012,Actuals
Oct,-2138006,Software/Hardware Expense,Advertising,USD,2012,Actuals
Sep,-1651944,Software/Hardware Expense,Advertising,USD,2012,Actuals
Apr,-1181160,Software/Hardware Expense,Advertising,USD,2012,Actuals
Aug,-2266251,Software/Hardware Expense,Advertising,USD,2012,Actuals
Dec,-393674,Marketing Expense,Advertising,USD,2012,Actuals
Feb,-500810,Marketing Expense,Advertising,USD,2012,Actuals
Jan,-477650,Marketing Expense,Advertising,USD,2012,Actuals
Jul,-401191,Marketing Expense,Advertising,USD,2012,Actuals
Jun,-502205,Marketing Expense,Advertising,USD,2012,Actuals
Mar,-350137,Marketing Expense,Advertising,USD,2012,Actuals
May,-444748,Marketing Expense,Advertising,USD,2012,Actuals
Nov,-308776,Marketing Expense,Advertising,USD,2012,Actuals
Oct,-616922,Marketing Expense,Advertising,USD,2012,Actuals
Sep,-517674,Marketing Expense,Advertising,USD,2012,Actuals
Apr,-390161,Marketing Expense,Advertising,USD,2012,Actuals
Aug,-701616,Marketing Expense,Advertising,USD,2012,Actuals
Dec,31427366.86,Sales,Hardware,USD,2012,Actuals
Feb,30564269.58,Sales,Hardware,USD,2012,Actuals
Jan,32732640.72,Sales,Hardware,USD,2012,Actuals
Jul,23976968.91,Sales,Hardware,USD,2012,Actuals
Jun,36626119.12,Sales,Hardware,USD,2012,Actuals
Mar,26200879.2,Sales,Hardware,USD,2012,Actuals
May,29460681.42,Sales,Hardware,USD,2012,Actuals
Nov,17015251.48,Sales,Hardware,USD,2012,Actuals
Oct,31473222.99,Sales,Hardware,USD,2012,Actuals
Sep,29555276.99,Sales,Hardware,USD,2012,Actuals
Apr,19589169.37,Sales,Hardware,USD,2012,Actuals
Aug,34401805.55,Sales,Hardware,USD,2012,Actuals
Dec,-15258373,Cost of Goods Sold,Hardware,USD,2012,Actuals
Feb,-13026257,Cost of Goods Sold,Hardware,USD,2012,Actuals
Jan,-15174996,Cost of Goods Sold,Hardware,USD,2012,Actuals
Jul,-9675687,Cost of Goods Sold,Hardware,USD,2012,Actuals
Jun,-15700152,Cost of Goods Sold,Hardware,USD,2012,Actuals
Mar,-11675693,Cost of Goods Sold,Hardware,USD,2012,Actuals
May,-12015866,Cost of Goods Sold,Hardware,USD,2012,Actuals
Nov,-7771569,Cost of Goods Sold,Hardware,USD,2012,Actuals
Oct,-15679125,Cost of Goods Sold,Hardware,USD,2012,Actuals
Sep,-12007211,Cost of Goods Sold,Hardware,USD,2012,Actuals
Apr,-8655251,Cost of Goods Sold,Hardware,USD,2012,Actuals
Aug,-16111034,Cost of Goods Sold,Hardware,USD,2012,Actuals
Dec,-1417137,Commissions Expense,Hardware,USD,2012,Actuals
Feb,-1359525,Commissions Expense,Hardware,USD,2012,Actuals
Jan,-1365874,Commissions Expense,Hardware,USD,2012,Actuals
Jul,-1063724,Commissions Expense,Hardware,USD,2012,Actuals
Jun,-1564129,Commissions Expense,Hardware,USD,2012,Actuals
Mar,-1296743,Commissions Expense,Hardware,USD,2012,Actuals
